Genre,Publisher,TotalSales
Puzzle,Unknown,0
Puzzle,Unknown,0
Puzzle,Unknown,0
Puzzle,Unknown,0
Misc,EA Sports,0
Misc,EA Sports,0
Misc,EA Sports,0
Misc,EA Sports,0
Misc,EA Sports,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Adventure,Mojang,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Misc,Wargaming.net,0.03
Misc,Wargaming.net,0.03
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Shooter,Ubisoft,0
Misc,Unknown,0.01
Misc,Unknown,0.01
Misc,Unknown,0.01
Shooter,TGC,0
Shooter,TGC,0
Shooter,TGC,0
Puzzle,Unknown,0
Puzzle,Unknown,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Misc,Sega,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Shooter,505 Games,0
Sports,Unknown,0
Sports,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Racing,1C Company,0
Racing,1C Company,0
Racing,1C Company,0
Racing,1C Company,0
Racing,1C Company,0
Racing,1C Company,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
RolePlaying,WaterMelon,0
Shooter,Bethesda Softworks,0
Shooter,Bethesda Softworks,0
Shooter,Bethesda Softworks,0
Shooter,Bethesda Softworks,0
Shooter,Bethesda Softworks,0
Shooter,Bethesda Softworks,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Fighting,Unknown,0
Misc,Unknown,0
Misc,Unknown,0
Misc,Unknown,0
Misc,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Action,Sony Computer Entertainment,0.26
Fighting,Arc System Works,0
Fighting,Arc System Works,0
Fighting,Arc System Works,0
Action,Ignition Entertainment,0
Action,Ignition Entertainment,0
Action,Ignition Entertainment,0
Action,Unknown,0
Action,Unknown,0
RolePlaying,Unknown,0
RolePlaying,Unknown,0
RolePlaying,Unknown,0
RolePlaying,Square Enix,0
Puzzle,Unknown,0
Puzzle,Unknown,0
Puzzle,Unknown,0
RolePlaying,Unknown,0
RolePlaying,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Shooter,Unknown,0
Misc,Sony Computer Entertainment,0
Misc,Sony Computer Entertainment,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Action,Unknown,0
Racing,Sega,0.01
Adventure,Unknown,0
Adventure,Unknown,0
Adventure,Unknown,0
Misc,Capcom,0
Misc,Capcom,0
Misc,Capcom,0
Misc,Capcom,0
Misc,Capcom,0
Misc,Capcom,0
Misc,Unknown,0
Simulation,Unknown,0
Simulation,Unknown,0
Adventure,Unknown,0
Adventure,Unknown,0
Simulation,Unknown,0
Simulation,Unknown,0
Misc,Nintendo,0
Misc,Nintendo,0
Misc,Nintendo,0
Misc,Nintendo,0
Adventure,Unknown,0
Adventure,Unknown,0
Adventure,Unknown,0
Action,Unknown,0
Simulation,Ubisoft,0.29
Racing,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
Platform,Unknown,0
RolePlaying,Square Enix,0
RolePlaying,Square Enix,0
RolePlaying,Square Enix,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Misc,inXile Entertainment,0
Puzzle,Soedesco,0
Misc,Sony Online Entertainment,0
Misc,Sony Online Entertainment,0
Misc,Capcom,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Warner Bros. Interactive Entertainment,0
Misc,Square Enix,0
Misc,Unknown,0
Misc,Unknown,0
Misc,Sony Online Entertainment,0
Misc,Sony Online Entertainment,0
Action,Paradox Interactive ,0
Action,Paradox Interactive ,0
Racing,Sony Computer Entertainment,0
Adventure,Wild Sheep Studio,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,The Behemoth,0
Action,Konami Digital Entertainment,0
Shooter,Sony Computer Entertainment,0
RolePlaying,Square Enix,0
Platform,Cygames,0
Platform,Cygames,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Simulation,Namco Bandai Games,0
Action,Sony Computer Entertainment,0
Shooter,Unknown,0
Misc,Microsoft Game Studios,0
Misc,Microsoft Game Studios,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Action,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Sports,Unknown,0
Misc,Unknown,0
Misc,Playrix Entertainment,0.02
Misc,Playrix Entertainment,0.02
Misc,Capcom,0
Simulation,Namco Bandai Games,0
Misc,Microsoft Game Studios,0
Misc,Microsoft Game Studios,0
Misc,Microsoft Game Studios,0
Misc,Microsoft Game Studios,0
RolePlaying,Microsoft Game Studios,0
Action,Unknown,0
Action,Unknown,0
Misc,Ubisoft,0
Misc,Ubisoft,0
Misc,Nintendo,0
Misc,KnapNok Games,0
Misc,Capcom,0
Misc,Unknown,0
Misc,Slang,0
Misc,Slang,0
Misc,Slang,0
Sports,Natsume,0
RolePlaying,Namco Bandai Games,0
Misc,Unknown,0
Misc,Unknown,0
Misc,Namco Bandai Games,0
Misc,Transolar Games,0
Misc,Transolar Games,0
Misc,Transolar Games,0
Misc,Transolar Games,0
Misc,Transolar Games,0
Misc,Transolar Games,0
Misc,Zono Incorporated,0
Misc,Zono Incorporated,0
Misc,Zono Incorporated,0
Misc,Massive Black Inc,0
Misc,Massive Black Inc,0
Misc,SIMS Co.,0
Misc,SIMS Co.,0
Misc,SIMS Co.,0
Misc,SIMS Co.,0
Misc,SIMS Co.,0
Misc,SIMS Co.,0
Misc,Square Enix,0
Misc,nWay,0
Misc,nWay,0
Adventure,Sony Computer Entertainment,0
Action,"Telegames, Inc.",0
Action,Nintendo,0
Action,Sony Computer Entertainment,0.69
Action,Sony Computer Entertainment,0.69
Action,Sony Computer Entertainment,0.69
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
RolePlaying,Ubisoft,0.01
Shooter,505 Games,0.05
Shooter,505 Games,0.05
Shooter,505 Games,0.05
Shooter,505 Games,0.05
Shooter,505 Games,0.05
Shooter,505 Games,0.05
Action,Capcom,0.06
Action,Capcom,0.06
Action,Capcom,0.06
Action,Capcom,0.06
Action,Capcom,0.01
Action,Capcom,0.01
Action,Capcom,0.01
Action,Capcom,0.01
RolePlaying,Square Enix,0.14
RolePlaying,Square Enix,0.14
RolePlaying,Square Enix,0.14
RolePlaying,Square Enix,0.14
RolePlaying,Square Enix,0.2
RolePlaying,Square Enix,0.2
RolePlaying,Square Enix,0.2
RolePlaying,Square Enix,0.2
RolePlaying,Square Enix,0.2
